PLAYER,YEAR,POS,HEIGHT,HEIGHT_W_SHOES,REACH,WEIGHT,WINGSPAN,WING DIFF,SHUTTLE_RUN,THREE_QUARTER_SPRINT,STANDING_VERTICAL,MAX_VERTICAL,BENCH_PRESS,BODY_FAT,HAND L,HAND W
Daequan Cook,2007,WING,75,77.75,101.5,203,80.25,5.25,,3.22,30,34.5,4,7.00%,,
Dahntay Jones,2003,WING,76.75,,102.5,214,81,4.25,,3.11,30,39.5,,2.60%,,
DaJuan Summers,2009,WING,79.25,80.5,106.5,243,84.75,5.5,,3.17,29.5,34.5,15,6.60%,,
Dajuan Wagner,2002,COMBO G,72.75,,99,193,74,1.25,,3.22,28,35,16,,,
Dakari Johnson,2015,BIG,83,83.75,112,264.6,86,3,2.94,3.62,22.5,25,4,14.90%,9.25,10.5
Damian Jones,2016,BIG,82.25,83.5,107,243.6,87.75,5.5,3.12,3.2,36,37,,6.60%,8.75,10.5
Damian Lillard,2012,PG,73.75,74.75,95.5,188.8,79.75,6,,3.34,34.5,39.5,13,5.90%,8.75,9.75
Damien Wilkins,2004,WING,76.5,78,106,222,84,7.5,,3.15,26.5,31,15,7.30%,,
Damion James,2010,WING,78.25,79.75,107,226.6,84.75,6.5,,3.2,29,33,13,9.60%,9.25,8.5
Damon Hancock,2002,COMBO G,74.75,,99.5,203,78,3.25,,3.03,32,35,15,,,
Damon Reed,2000,BIG,80.5,,104.5,228,81.5,1,,3.31,27.5,31.5,4,,,
Damone Brown,2001,WING,80.25,,104.5,202,83.75,3.5,,3.27,32,37,6,6.70%,,
Damone Thornton,2001,BIG,78.75,,103.8,235,85.75,7,,3.2,33.5,37.5,19,8.00%,,
Damyean Dotson,2017,WING,76.5,77.5,100,205.2,81,4.5,3.03,3.13,31.5,38,,5.30%,8.5,9.25
Dan Grunfeld,2006,WING,76.75,78,99,216,78.25,1.5,,3.46,28,33.5,16,10.40%,,
Dan Langhi,2000,WING,81,,104,197.5,80,-1,,3.24,31,34.5,12,,,
Dan McClintock,2000,BIG,83,,107,250,85.5,2.5,,3.33,33,35,20,,,
Daniel Gafford,2019,BIG,81.25,82.5,110,237.6,86.25,5,3.19,3.25,32.5,36.5,5,5.90%,9.25,9.25
Daniel Hamilton,2016,WING,78.25,80,103.5,197,81,2.75,3.2,3.4,26,29,,6.00%,9,8.5
Daniel Horton,2006,COMBO G,72.5,74.25,96.5,198,79,6.5,,3.16,30,36.5,17,8.00%,,
Daniel Orton,2010,BIG,80.75,81.5,110.5,269.2,88.25,7.5,,3.39,24,30.5,13,13.80%,8.5,9.75
Danilo Pinnock,2006,COMBO G,74.75,76,100.5,204,79.5,4.75,,3.08,29.5,35.5,7,4.60%,,
Danny Granger,2005,WING,79.5,80.5,103,225.4,85.5,6,,3.34,31,34,10,,,
Danny Green,2009,WING,77.25,78.5,103,208,82,4.75,,3.3,29,33,15,5.60%,,
Dante Cunningham,2009,BIG,79,80.25,106.5,227.4,83,4,,3.26,28,35,18,4.80%,,
Dante Exum,2014,WING,76.5,78,103,196.3,81.5,5,2.88,3.19,31.5,34.5,,6.40%,8.5,9.5
DaQuan Jefferies,2019,COMBO F,76,77,104,215.6,83.25,7.25,,,,,,3.90%,9.5,10.25
Darington Hobson,2010,WING,77.25,78.5,104.5,203.6,81.25,4,,3.25,29,34,,6.20%,8.25,9
Darius Bazley,2019,COMBO F,79.75,81,17,208.4,84,4.25,2.95,3.27,30.5,37,4,3.60%,9,9.75
Darius Johnson-Odom,2012,WING,73.5,75,96,212,79,5.5,,3.21,33.5,41.5,17,7.00%,8.75,8.75
Darius Miller,2012,WING,78,79.5,101,233.4,81,3,,3.31,33,37,14,7.50%,8.5,8.75
Darius Morris,2011,COMBO G,75.25,77.25,102,190,79.5,4.25,,3.2,24.5,32,12,5.30%,8.75,10
Darius Songaila,2002,BIG,80,,108.5,240,85,5,,3.52,24.5,29.5,8,,,
Darius Washington,2006,PG,71.5,73,96,195,76,4.5,,3.26,29,37.5,9,9.70%,,
Darko Milicic,2003,BIG,83.5,,111.5,250,89,5.5,,3.36,26.5,32.5,13,8.00%,,
Darnell Jackson,2008,BIG,79,79.75,106.5,240.5,83.25,4.25,,3.26,27,31,11,12.50%,,
Darrell Arthur,2008,BIG,79.5,80.5,107,216,82.75,3.25,,3.14,28.5,30,12,7.30%,,
Darrell Johns,2001,BIG,83.25,,111.5,278,89,5.75,,3.59,23.5,30,18,19.10%,,
Darren Collison,2009,PG,72.25,73.5,96.5,166.2,75,2.75,,3.1,30.5,33.5,9,5.70%,,
Darren Kelly,2001,COMBO G,74,,100,178,78.75,4.75,,3.21,30.5,34.5,1,6.70%,,
Darryl Watkins,2007,BIG,80.75,82.25,110,241,87,6.25,,3.56,26.5,31,14,6.90%,,
Daryl Dorsey,2005,PG,71.25,72.5,94,160.8,71.5,0.25,,3.24,25,30.5,0,,,
DaShaun Wood,2007,PG,70.75,71.5,92,167,72.75,2,,3.23,31.5,34.5,13,5.40%,,
David Graves,2002,WING,76.5,,101,212,79,2.5,,3.27,26,29.5,8,,,
David Lee,2005,BIG,79.75,81,106.5,229.5,84,4.25,,3.19,30.5,32.5,14,,,
David Lighty,2011,WING,76.75,78.5,101,216.2,80,3.25,,3.25,28.5,33,15,6.50%,9,10
David Lucas,2005,BIG,78.5,79.75,103.5,233.4,84,5.5,,,,,17,,,
David Noel,2006,WING,76.5,78,100,223,81.5,5,,3.07,34.5,38.5,20,6.10%,,
David Padgett,2008,BIG,82.25,83.5,109.5,239.5,85,2.75,,3.45,24,28,17,9.00%,,
David Simon,2005,BIG,80,81.5,108,258.8,87.5,7.5,,3.44,28,33,18,,,
David West,2003,COMBO F,80.25,,108.3,226,88.25,8,,3.43,28.5,31.5,11,8.00%,,
Davon Jefferson,2008,WING,77.25,78.5,105,213,81.5,4.25,,3.36,27,32,2,12.00%,,
Davon Reed,2017,WING,76.5,77.5,102,206.2,84,7.5,3.21,3.34,28.5,36,,6.50%,9.25,9.5
De'Aaron Fox,2017,PG,74,75.25,100,169.6,78.5,4.5,,,,,,4.50%,8.5,8.5
DeAndre Bembry,2016,WING,76.25,77.75,101,206.6,81.25,5,2.87,3.17,32,38,,7.00%,8,9.25
DeAndre Daniels,2014,WING,79.25,80.5,106.5,196,86,6.75,3.04,3.44,26.5,32,,3.90%,9.25,10.5
DeAndre Jordan,2008,BIG,81.75,83,113.5,250,90,8.25,,3.27,26,30.5,8,7.50%,,
DeAndre Kane,2014,PG,74.75,76.5,99.5,199.9,80,5.25,2.85,3.16,31.5,35.5,,5.00%,8.25,9
DeAndre Liggins,2011,WING,77,78.25,103.5,202.2,83,6,,3.33,27,31,6,5.00%,8.75,10
DeAnthony Melton,2018,COMBO G,74.25,75.25,99.5,193.2,80.5,6.25,3.32,3.23,31,36.5,,5.20%,8.5,9.5
Dedric Lawson,2019,BIG,79,80.5,107.5,233,86.25,7.25,3.54,3.6,23.5,26,10,8.90%,9.75,9.75
Dedric Lawson 2016,2016,BIG,79,80,106.5,224.8,86.5,7.5,3.39,3.65,22.5,28,,11.10%,9.5,9.5
Dee Brown,2005,COMBO G,71,72,94,179,74,3,,,,,,,,
Deji Akindele,2005,BIG,81.5,83,108.5,236.4,87,5.5,,3.35,30.5,32.5,13,,,
DeJuan Blair,2009,BIG,77.25,78.5,106.5,276.6,86,8.75,,3.45,26,33,18,12.00%,,
Delon Wright,2015,PG,76.25,77.5,101.5,181.4,79.5,3.25,3.5,3.29,29.5,31,4,6.60%,8,8.5
Delonte West,2004,COMBO G,73.5,74.75,99.5,183,78,4.5,,3.15,30,35,12,6.70%,,
DeMar DeRozan,2009,WING,77.5,78.5,102.5,211.2,81,3.5,,3.31,29,38.5,5,4.90%,,
DeMarcus Cousins,2010,BIG,81.5,82.75,113,291.8,89.75,8.25,,3.55,23.5,27.5,,16.40%,9.25,10
DeMarcus Minor,2001,WING,75.25,,99.5,207,80.25,5,,3.15,29,41,9,6.70%,,
DeMarcus Nelson,2008,COMBO G,73,74.25,98.5,198,82,9,,3.13,34.5,38.5,19,4.50%,,
DeMarre Carroll,2009,COMBO F,78.25,79.75,105,207.2,82,3.75,,,,,,6.30%,,
Demetri McCamey,2011,PG,73.75,75.25,99.5,204,78.25,4.5,,3.19,27,33,,6.10%,8.5,9
Demetris Nichols,2007,WING,78,79.5,105,211,84.25,6.25,,3.38,28.5,32.5,16,6.20%,,
Demetrius Jackson,2016,PG,72,73.25,93,193.8,77.5,5.5,2.87,3.25,37.5,43.5,,6.50%,8.25,9
Demetrius Porter,2001,PG,70.75,,94,178,74.75,4,,3.34,26,31,5,12.40%,,
Deng Gai,2005,BIG,79.75,81.25,110.5,214,88.5,8.75,,3.27,31.5,35.5,11,,,
Denham Brown,2006,WING,76,77,102.5,218,81.5,5.5,,3.25,28,34.5,12,9.00%,,
Dennis Schroder,2013,PG,73,74,98,164.8,79.75,6.75,2.86,3.21,30,34,1,4.10%,8.75,10.5
Denzel Valentine,2016,WING,76,77.75,102,210.4,82.75,6.75,3.22,3.46,27,32,,9.20%,8.5,9.75
Deonte Burton,2014,PG,72,73.25,97.5,192.8,79,7,3.08,3.28,29,39.5,,7.70%,8.25,8
Deron Washington,2008,WING,77.25,78.25,102.5,198.5,81,3.75,,3.09,34,40,7,7.20%,,
Deron Williams,2005,PG,73.75,74.75,98,202.4,78.25,4.5,,3.25,30,35,15,,,
Derrick Brown,2009,COMBO F,79.5,80.5,107.5,224.6,86.5,7,,3.13,30.5,35.5,20,8.60%,,
Derrick Caracter,2010,BIG,80.25,81.5,107.5,280,84.25,4,,3.61,25,30.5,22,12.80%,9,10.25
Derrick Favors,2010,BIG,80.75,82.25,110,245.2,88,7.25,,3.25,31.5,35.5,14,6.50%,8.75,9.25
Derrick Rose,2008,PG,73.5,74.5,98.5,196,80,6.5,,3.05,34.5,40,10,4.60%,,
Derrick Walton Jr.,2017,PG,71,72.75,95,188.6,74.5,3.5,3.12,3.29,26,32.5,,5.80%,8,8.5
Derrick White,2017,PG,75.25,76.5,101.5,189.8,79.5,4.25,2.92,3.08,31,36.5,,6.20%,8.25,8.5
Derrick Williams,2011,COMBO F,79.25,80.75,108,248.4,85.5,6.25,,3.23,29,34.5,19,10.80%,9,9.75
Derrick Zimmerman,2003,PG,73,,96.3,190,81,8,,3.1,34,40.5,13,5.30%,,
DeSagana Diop,2001,BIG,82,,113,314,90.5,8.5,,3.56,21.5,25.5,15,21.00%,,
Deshaun Thomas,2013,WING,77,79,104,219.8,82,5,3.38,3.53,28.5,32,5,9.10%,8,8.75
Desmon Farmer,2004,WING,76.5,77.75,103,214,80.5,4,,3.2,24,31,12,5.30%,,
Devin Booker,2015,WING,76.5,77.75,102.5,205.8,80.25,3.75,2.75,3.28,27.5,34.5,8,8.30%,8.75,9
Devin Ebanks,2010,WING,79,80.25,107.5,207.8,84.25,5.25,,3.44,23.5,32,6,7.90%,8.25,9
Devin Harris,2004,PG,73.75,75,98.5,170,79.5,5.75,,3.19,30.5,37,5,5.30%,,
Devin Robinson,2017,WING,79,80.25,106,189.6,84.75,5.75,3.61,3.23,35.5,41.5,,3.20%,9.25,10.25
Devon Dotson,2019,PG,72,74,95.5,178.6,75.25,3.25,2.8,3.04,30,38.5,7,5.90%,8.25,9.5
Devon Hall,2018,WING,76.25,78,102,206.4,79.75,3.5,3.15,3.27,25,31,,8.50%,8.5,10
DeVon Hardin,2008,BIG,81.5,82.75,109.5,235,87,5.5,,3.33,29.5,32,20,5.80%,,
Devonte Graham,2018,PG,72.25,73.5,96,186.4,78.25,6,3.14,3.21,31,37,,4.80%,8.5,9.5
Devyn Marble,2014,WING,77,78.5,102,192.4,81,4,3.08,3.28,29,35,,6.90%,8.25,8.5
Dewan Hernandez,2019,BIG,81,82.25,107,232.8,85.75,4.75,3.25,3.28,30.5,35.5,13,6.10%,9.5,10.25
Dewayne Dedmon,2013,BIG,82,83.5,109,238.8,88,6,3.26,3.4,28,32.5,8,8.40%,9,11
Dexter Pittman,2010,BIG,81.5,83.5,111,302.6,90,8.5,,,,,,20.80%,10.25,10.5
Deyonta Davis,2016,BIG,81.25,82.5,108.5,237.2,86.5,5.25,,,,,,9.70%,9,9.25
Dez Wells,2015,WING,75,76,100.5,208.8,81.5,6.5,3.05,3.2,31.5,39,15,8.10%,8.75,9.75
Diamond Stone,2016,BIG,81,82.25,108.5,254.4,86.75,5.75,3.22,3.5,27,29.5,,12.90%,8.5,7.75
Dijon Thompson,2005,WING,78.25,80,105.5,195.8,81.75,3.5,,,,,,,,
Dillon Brooks,2017,WING,77,78,100.5,220.2,78,1,3.24,3.21,31,37.5,,7.50%,8.25,9.25
Dion Waiters,2012,WING,74.5,76,98,221,79.25,4.75,,,,,,8.50%,8.5,9.5
Dionte Christmas,2009,WING,76.25,77.5,102.5,210.8,81,4.75,,3.21,27,33.5,3,7.10%,,
DJ Strawberry,2007,WING,75.75,77,101,199,78.5,2.75,,3.14,28.5,35,21,4.50%,,
Dominic James,2007,PG,70,71.75,93,175,74,4,,3.11,33.5,38.5,14,4.80%,,
Dominic McGuire,2007,WING,79,80.25,104,220,82.5,3.5,,3.25,28.5,34.5,12,4.70%,,
Dominique Jones,2010,WING,75.25,77,101,216,81.25,6,,3.31,26,32.5,19,5.90%,9,10.25
Donald Little,2003,BIG,81.5,,97,229,87,5.5,,3.2,33,37,18,7.30%,,
Donnell Harvey,2000,BIG,79.25,,105.5,220,84.5,5.25,,,33,32.5,15,,,
Donovan Mitchell,2017,WING,73.25,75,97,211.4,82,8.75,3.07,3.01,36.5,40.5,,5.90%,8.5,9.5
Donte DiVincenzo,2018,WING,75.5,76.5,97.5,200.6,78,2.5,3.11,3.11,34.5,42,,5.00%,8.25,9
Donte Greene,2008,COMBO F,80.25,81,108,221,82,1.75,,3.2,27.5,31.5,2,7.60%,,
Dorian Finney-Smith,2016,WING,78.5,79.75,105.5,212.6,83.75,5.25,3.04,3.27,32.5,35.5,,6.50%,9,9.75
Doron Lamb,2012,COMBO G,75.25,76.75,98.5,199.4,78.75,3.5,,3.41,29,33.5,2,6.70%,8.5,8.75
Doug McDermott,2014,WING,78.25,79.75,103,218,81.25,3,3.15,3.29,28.5,36.5,,7.10%,8.75,9.75
Doug Wrenn,2003,COMBO F,77.75,,100.5,220,91.5,13.75,,3.17,34.5,41,15,7.30%,,
Drago Pasalic,2005,COMBO F,81.5,83,108.5,238.8,83.75,2.25,,3.48,25,30.5,11,,,
Draymond Green,2012,COMBO F,77.75,79.5,105,235.6,85.25,7.5,,3.4,28,33,9,11.30%,9,9.5
Drew Gooden,2002,BIG,80.75,,106.5,227,84.5,3.75,,3.19,29,33,13,,,
Drew Gordon,2012,BIG,80,80.75,103.5,239,83.5,3.5,,3.49,29,34,10,9.10%,8.5,9.75
Drew Neitzel,2008,PG,71.75,72.75,95,175.5,74.5,2.75,,3.2,25.5,32,10,6.20%,,
Dustin Salisbery,2007,WING,75,76.75,100.5,208,80,5,,3.12,34,38,11,6.60%,,
Dwayne Bacon,2017,WING,76.75,78.25,103.5,221.6,82,5.25,3.22,3.22,30,36.5,,7.90%,8.75,10
Dwayne Jones,2005,BIG,80.5,82,108.5,242.2,86.75,6.25,,3.25,28,31.5,15,,,
Dwayne Mitchell,2006,WING,74,75.25,98.5,208,78.5,4.5,,3.16,37.5,41.5,17,4.50%,,
Dwight Howard,2004,BIG,81,82.25,111.5,240,88.5,7.5,,3.14,30.5,35.5,7,10.50%,,
Dwight Powell,2014,BIG,81.5,83,105,234.4,84.5,3,2.88,3.2,28.5,35,,6.20%,9,9.25
Dwyane Wade,2003,WING,75.75,,102,212,82.75,7,,3.08,31.5,35,9,6.70%,,
Dylan Page,2004,WING,79.5,80.75,105,239,79,-0.5,,3.4,26,30,17,12.30%,,
Dylan Windler,2019,COMBO F,78.25,79.5,104.5,195.8,82,3.75,2.94,3.3,29,37.5,8,4.60%,8.25,9.5
E'Twaun Moore,2011,WING,74.5,76,99.5,191.4,81.5,7,,3.31,32,34.5,,7.60%,9,10
Earl Clark,2009,COMBO F,80.5,82.25,109.5,228.4,86.5,6,,3.35,28.5,33,5,5.20%,,
Earl Watson,2001,PG,72,,97,184,78.75,6.75,,3.19,32.5,37.5,4,4.00%,,
Ebi Ere,2003,WING,75.5,,102,210,82.5,7,,3.16,29.5,33.5,,14.10%,,
Ed Cota,2000,PG,72.25,,96.5,189,76,3.75,,3.24,26.5,33.5,1,,,
Ed Davis,2010,BIG,81,81.75,108,226.6,84,3,,3.21,31,36,,10.00%,9.25,10
Eddie Basden,2005,WING,76.25,77.5,101,210,82.25,6,,3.21,33,36.5,14,,,
Eddie Gill,2000,PG,71.75,,93,176,76,4.25,,3.18,35,38.5,13,,,
Eddie Griffin,2001,COMBO F,81.25,,110,222,87,5.75,,3.21,26.5,33,3,4.00%,,
Eddie House,2000,COMBO G,71.75,,95,176.5,75.5,3.75,,3.27,29.5,38.5,5,,,
Eddy Curry,2001,BIG,82.5,,111,301,90.5,8,,3.53,28,31,16,16.50%,,
Eddy Fobbs,2005,BIG,82.25,83.25,111.5,235.2,90.75,8.5,,3.28,29.5,34,12,,,
Edmond Sumner,2017,PG,76,77.75,102.5,176.4,81,5,,,,,,8.30%,8.25,9
Edrice Adebayo,2017,BIG,80.75,81.75,108,242.6,86.75,6,3.24,3.24,33.5,38.5,,5.20%,9.5,8.75
Eduardo Najera,2000,COMBO F,78.5,,104.5,234.5,83.5,5,,3.45,28,35,15,,,
Ekene Ibekwe,2007,BIG,80,81,104,208,90,10,,3.28,34.5,39,10,3.20%,,
Ekpe Udoh,2010,BIG,80.75,81.75,106.5,237.4,88.5,7.75,,3.29,31,33.5,10,8.00%,9.5,8.75
Elfrid Payton,2014,PG,74.5,75.75,98.5,185.4,80,5.5,2.92,3.23,31.5,35.5,,5.70%,8.75,9
Elgin Cook,2016,WING,77,78.25,100.5,209.8,82,5,,,,,,6.40%,8.5,10.25
Ellis Myles,2005,BIG,78,79.25,105.5,255.2,81.75,3.75,,3.42,26,28.5,15,,,
Elvin Mims,2002,WING,76.25,,105.5,211,85.5,9.25,,3.22,32,38,7,,,
Emeka Okafor,2004,BIG,80.75,82,110.5,257,88,7.25,,3.15,31.5,34,22,5.30%,,
Enes Kanter,2011,BIG,81.75,83.25,109.5,259.2,85.5,3.75,,3.26,26,32.5,14,5.90%,9.5,10.75
Eric Bledsoe,2010,PG,72.25,73.5,98,191.6,79.5,7.25,,,,,9,5.60%,8.5,9.75
Eric Chenowith,2001,BIG,85,,111,264,88,3,,3.59,23.5,27.5,6,12.90%,,
Eric Coley,2000,WING,76,,102,205,83,7,,3.15,35,38,10,,,
Eric Gordon,2008,WING,74,75.25,99,222,81,7,,3.01,32,40,15,8.20%,,
Eric Hicks,2006,BIG,76.75,77.5,105.5,238,85.5,8.75,,3.34,30,34,20,7.10%,,
Eric Maynor,2009,PG,74.25,75.25,97,163.6,74.5,0.25,,3.19,28.5,31.5,8,5.40%,,
Eric Mika,2017,BIG,80.5,81.75,106.5,232.8,82,1.5,2.96,3.38,29,32,,6.50%,8.25,8.75
Eric Paschall,2019,COMBO F,78,79.25,103.5,254.4,83.75,5.75,3.26,3.3,33,38,18,6.30%,9,9.5
Eric Williams,2006,BIG,79.25,80.75,106.5,285,88.25,9,,3.56,28.5,29,17,13.00%,,
Erick Green,2013,PG,73.5,75,98,178.2,77.75,4.25,,,,,5,4.40%,8.5,9
Erik Daniels,2004,COMBO F,78.25,79.5,106,223,83,4.75,,3.19,31,32,4,18.50%,,
Erik Murphy,2013,BIG,80.75,81.5,108,239.8,82.5,1.75,2.96,3.57,24.5,29.5,13,8.00%,8.75,9.75
Ernest Brown,2000,BIG,82,,109.5,222.5,85.25,3.25,,,,,2,,,
Ersan Ilyasova,2005,WING,79.75,81,109.5,208.8,85.25,5.5,,3.56,22,30,2,,,
Evan Turner,2010,WING,77.75,79,103.5,213.8,80,2.25,,3.27,27.5,34.5,9,8.60%,8.75,9.5
Fab Melo,2012,BIG,82.75,84,110,255,86.5,3.75,,3.44,29.5,31,9,9.20%,9,10
Festus Ezeli,2012,BIG,81.75,83.5,108,264.2,89.75,8,,3.29,34,33.5,18,5.50%,9,10.75
Francisco Garcia,2005,WING,77.75,79,103,189.6,82.75,5,,3.33,27.5,31.5,5,,,
Frank Elegar,2008,BIG,79.25,80.75,106,210,87.25,8,,3.17,33.5,37.5,11,4.50%,,
Frank Jackson,2017,PG,74,75.5,98,201.6,79.5,5.5,2.7,3.14,34.5,42,,6.70%,8.25,9
Frank Kaminsky,2015,BIG,83.75,84.75,109.5,231.2,83,-0.75,,,,,,9.40%,8.5,9.5
Frank Mason III,2017,PG,71,72,94,188.8,75.25,4.25,3.09,3.18,34,41,,4.30%,8,9.25
Frank Williams,2002,PG,73.5,,100.5,212,80,6.5,,3.29,26,31,,,,
Frans Steyn,2006,BIG,85.25,86.5,109,280,86.25,1,,3.38,28.5,29.5,,12.80%,,
Fred Jones,2002,WING,74.25,,100,218,84,9.75,,3.13,33.5,37.5,,,,
Gabe Muoneke,2000,COMBO F,78.25,,105,244,84.5,6.25,,3.4,30.5,34,22,,,
Gani Lawal,2010,BIG,79.5,81,107.5,233.4,84,4.5,,3.24,27,31.5,20,6.30%,8.5,10
Gary Forbes,2008,WING,76.5,77.75,104.5,220.5,83.25,6.75,,3.25,27.5,33.5,13,6.50%,,
Gary Harris,2014,WING,74.5,76.5,96,204.8,78.75,4.25,,,,,,4.60%,8.5,9.5
Gary Payton II,2016,PG,74,75,99.5,183.8,80,6,3.17,3.23,31.5,38.5,,4.00%,8.75,9.5
Gary Trent,2018,WING,76.25,77.75,98,204.2,80.75,4.5,3.08,3.12,33.5,39.5,,7.00%,8.5,9.5
George de Paula,2015,PG,76.5,77.5,104,197,84,7.5,3.16,3.45,28,34,6,6.70%,9.5,10.5
George Hill,2008,PG,73.25,74.5,97.5,181,81,7.75,,3.07,34,37.5,9,3.00%,,
George King,2018,WING,76.75,78,101.5,218.6,83.5,6.75,3.08,3.29,31,39,,7.30%,9,10.25
George Williams,2002,COMBO F,77.75,,103,214,84.5,6.75,,3.24,33.5,39,11,,,
Georges Niang,2016,BIG,78.75,80.5,103,230.8,82,3.25,3.17,3.49,25,31,,10.10%,9.25,9.25
Gerald Green,2005,WING,78,79.25,104,192,81.75,3.75,,3.21,31.5,39,7,,,
Gerald Henderson,2009,WING,76,77,102.5,214.6,82.25,6.25,,3.14,31.5,35,8,4.40%,,
Gerry McNamara,2006,COMBO G,71.75,72.5,92.5,177,72.75,1,,3.4,27,32,3,12.80%,,
Gilbert Arenas,2001,WING,74.25,,99.5,199,81.5,7.25,,3.25,31.5,36,12,5.30%,,
Glen Rice,2013,WING,76.5,77.75,101.5,210.8,81.25,4.75,3.08,3.25,33,40.5,10,8.50%,8.5,9
Glenn Robinson III,2014,WING,77.5,78.75,100.5,211.4,82,4.5,3.04,3.15,36.5,41.5,,5.10%,9,9.5
Gordon Hayward,2010,WING,78.75,80,103,211,79.75,1,,3.22,30.5,34.5,10,6.90%,8.5,9.25
Gorgui Dieng,2013,BIG,81.75,82.75,111.5,229.6,87.5,5.75,,,,,,5.40%,9,10
Grant Jerrett,2013,BIG,80.75,82.25,109,232,86,5.25,3.23,3.51,28.5,34,2,10.10%,8.5,9.25
Grant Williams,2019,COMBO F,77.75,79.5,104.5,240.2,81.75,4,3.27,3.33,26,31.5,20,5.40%,9,10.5
Grayson Allen,2018,WING,75,76.5,97,198,79.25,4.25,3.04,3.15,32.5,40.5,,5.60%,8.25,10
Greg Harrington,2002,PG,73,,97,183,75.75,2.75,,3.32,28.5,34,15,,,
Greg Monroe,2010,BIG,81.75,83,108.5,246.6,86.25,4.5,,3.35,25,29,15,11.20%,8.75,9.5
Greg Oden,2007,BIG,83,84,112,257,88.25,5.25,,3.27,32,34,,7.80%,,
Greg Stevenson,2001,WING,75.75,,102,215,84.5,8.75,,3.23,30,35.5,15,7.30%,,
Gregory Smith,2011,BIG,80,81.25,106.5,252.8,86.5,6.5,,3.36,29.5,36,17,7.40%,9.75,12
Greivis Vasquez,2010,COMBO G,77,78.5,101,210.8,79,2,,,,,,8.60%,7.75,9.25
Gyasi Cline-Heard,2001,BIG,78.25,,103,231,83.5,5.25,,3.23,31.5,34.5,11,8.00%,,
Hakim Warrick,2005,COMBO F,79.25,80.5,108,215,86,6.75,,3.22,33,38,11,,,
Hamidou Diallo,2018,WING,76.25,78,103,197,83.5,7.25,3.14,3.1,32.5,40.5,,4.50%,8.75,9
Harold Arceneaux,2000,WING,76.5,,103,219,80.5,4,,,,29,0,,,
Harrison Barnes,2012,WING,79,80,101.5,227.8,83.25,4.25,,3.16,38,39.5,15,9.60%,9,8.5
Harry Giles,2017,BIG,81.25,82.5,109.5,232,87.25,6,3,3.34,27,32.5,,5.20%,9.5,10.75
Hasheem Thabeet,2009,BIG,85.25,86.5,113,267.2,90.25,5,,,,,,6.70%,,
Hassan Whiteside,2010,BIG,82.5,83.5,113,226.6,91,8.5,,3.54,27,31.5,12,5.50%,8.25,10.25
Henry Ellenson,2016,BIG,82,83.5,108,242,86.25,4.25,,,,,,11.20%,8.5,9.75
Henry Sims,2012,BIG,82,83.75,108,241.2,88,6,,3.44,26.5,29.5,7,7.70%,9.25,10
Herbert Hill,2007,BIG,79,81.75,108.5,232,86.25,7.25,,3.39,30.5,34,15,5.60%,,
Herve Lamizana,2004,COMBO F,79.5,80.5,107,210,85.5,6,,,,,,6.70%,,
Hilton Armstrong,2006,BIG,81.5,82.25,109,240,88,6.5,,3.53,28.5,31.5,13,6.30%,,
Hollis Price,2003,COMBO G,71.5,,94.5,165,76.5,5,,3.25,27.5,33,1,7.30%,,
Hollis Thompson,2012,WING,78.75,80,102.5,206,81.5,2.75,,3.38,28.5,36.5,6,6.00%,8.25,9.75
Horace Jenkins,2001,PG,71.75,,97,171,77.25,5.5,,3.1,34.5,41,2,6.00%,,
Ian Vouyoukas,2006,BIG,80.5,81.5,108.5,267,84.75,4.25,,3.72,23,28,8,14.80%,,
Ignas Brazdeikis,2019,WING,77.75,79.25,102,220.8,81.25,3.5,3.17,3.36,31,36.5,13,6.00%,8.75,9.5
Igor Rakocevic,2000,PG,74.5,,100,184,77.25,2.75,,3.1,27.5,34,9,,,
Ike Anigbogu,2017,BIG,80.5,81.75,110.5,252.2,90.25,9.75,3.48,3.44,29.5,32.5,,5.40%,9.5,10
Ike Diogu,2005,BIG,78.5,80,109,255.4,87.5,9,,3.45,28,31,21,,,
Iman Shumpert,2011,COMBO G,76.25,77.5,99.5,221.8,81.5,5.25,,3.18,36.5,42,18,6.50%,9,9
Immanuel McElroy,2002,WING,74.25,,100,191,78.5,4.25,,,,,9,,,
Isaac Haas,2018,BIG,85.25,86.75,111.5,303,89,3.75,,,,,,12.60%,10,10.5
Isaiah Austin,2014,BIG,83.5,84.5,112.5,219.5,88.5,5,3.18,3.55,26.5,29.5,,7.50%,8.75,8.75
Isaiah Briscoe,2017,PG,73.25,74.75,99.5,222.4,81,7.75,2.85,3.38,28,33.5,,11.00%,9,9.25
Isaiah Canaan,2013,PG,71,72,94.5,188.4,76.5,5.5,2.89,3.22,33,40.5,16,5.90%,8.25,9.5
Isaiah Cousins,2016,PG,75.25,76.5,98.5,194,78.25,3,2.97,3.24,30.5,37,,4.80%,8.25,8.75
Isaiah Hicks,2017,BIG,79.25,80.5,105,233.4,84.5,5.25,3.31,3.36,31.5,37,,7.70%,8.75,9.75
Isaiah Miles,2016,BIG,78.75,79.75,105,219.6,82.5,3.75,3.25,3.39,24,31.5,,9.60%,9,9.5
Isaiah Roby,2019,BIG,79.25,80.5,106,214,85,5.75,3.05,3.25,32.5,35.5,9,3.90%,9,10.5
